CalBP,Z_GISP2_Temp_C,Z_PANGAEA_pollen_AP [%],Z_PANGAEA_pollen_AP-Pinus [%],Z_PANGAEA_pollen_Algae [%],Z_PANGAEA_pollen_Helophyte [%],Z_PANGAEA_pollen_Herbs [%],Z_PANGAEA_pollen_NAP [%],Z_PANGAEA_pollen_Poaceae+Cyperaceae [,Z_PANGAEA_pollen_Pollen aquat [%],Z_PANGAEA_pollen_Pollen mediterr [%],Z_PANGAEA_pollen_Pollen montane [%],Z_PANGAEA_pollen_Pollen pioneer [%],Z_PANGAEA_pollen_Pollen steppic [%],Z_PANGAEA_pollen_Pollen te [%],Z_PANGAEA_pollen_Shrubs [%],Z_PANGAEA_pollen_Spores [%],CCSI
8170,-1.7154445786575823,-3.139767839605551,-3.320221237173948,-0.436180760941907,2.1155375740324036,2.5636691449275397,3.1397678396055477,2.514328287564279,2.032747218097114,-2.319848602948588,3.0443565215923383,0.5712088239952257,3.465146141352437,-2.4154139653345075,1.0569980097366227,2.6884996131700674,-3.150141909662411
8180,-1.8629017487387456,-3.094426425203055,-3.244043643102125,-0.4161031782410401,2.154122210947795,2.5420047087203748,3.0944264252030544,2.403262547108309,1.8938597284510386,-2.2782467373553863,3.019547776451569,0.4047157453754132,3.4060972817288526,-2.342736376393482,0.971151674938504,2.5671786684429674,-3.0935274948455493
8190,-1.9990127474170176,-2.9933021247394818,-3.110455635222051,-0.3907574243043465,2.151212303530904,2.477250703706252,2.993302124739481,2.2680774385065914,1.7179414731433158,-2.1827044602670584,2.9363379395521783,0.2358100984157377,3.2814192681795076,-2.2373713435430362,0.842003859757707,2.4579999111953006,-2.9899311404438027
8200,-2.1197061627530083,-2.838721985532248,-2.924150590629736,-0.36007624993911663,2.1045192166335918,2.369743765160135,2.8387219855322456,2.1135880281593535,1.5250173523216284,-2.041492461206139,2.7977621388785563,0.06868375594805981,3.099020024832795,-2.099620373342266,0.6815543197767717,2.355918943019732,-2.842216538893421
8210,-2.2216777443538005,-2.635775624801465,-2.692100485718113,-0.3243697660534034,2.013915130610663,2.221881771395266,2.635775624801463,1.9448212460686651,1.3325542190477124,-1.8640488780358735,2.609054598080225,-0.09473715102210063,2.8696263648418827,-1.9315095726953078,0.5036984556907507,2.2531662702754693,-2.654757473664981
8220,-2.302735299819245,-2.3918981321647372,-2.4230241869879134,-0.2843784892269296,1.881564410940741,2.0381288583380393,2.3918981321647372,1.7667591501948872,1.1534339052231537,-1.6602423755961715,2.376895022261676,-0.2537274514794509,2.6057081549946335,-1.7367013391148192,0.3218672059396235,2.141358411081552,-2.4333393576218096
8230,-2.3619642688363305,-2.1162932239800845,-2.1268074216008452,-0.24130385489342804,1.7118561709827416,1.8248754209761586,2.1162932239800836,1.5840986494399745,0.9949655480977727,-1.439790953263656,2.1087544645562852,-0.4075726675883608,2.3204396152121403,-1.5202802666993027,0.1473285323836334,2.0132209862333648,-2.1849928718760214
8240,-2.3996784837674134,-1.8193631083782003,-1.814009487815968,-0.19681517239468024,1.5112019730616946,1.5902273112789311,1.8193631083781976,1.4010882909149038,0.8588403116411759,-1.2119093397497,1.8125358693296296,-0.5545543215773268,2.026869751937651,-1.2885060004865363,-0.011688456571480587,1.8637634872871327,-1.917794268601603
8250,-2.4171774258198986,-1.5122318465389177,-1.4955072219882222,-0.15302391448005287,1.2877569908840618,1.3437391956230924,1.5122318465389148,1.2214533855085907,0.7418190051471412,-0.9851739293972163,1.4965926873610755,-0.6912941045622274,1.7373414965693688,-1.0485866811018782,-0.15014116900268665,1.6909367689134984,-1.6406334455714058
8260,-2.416378353972321,-1.2063329620591778,-1.18221859270752,-0.11240503517081256,1.0510727332823069,1.0960182616823795,1.206332962059177,1.0483673713437447,0.6369507243451845,-0.7675176292498168,1.1700770514074805,-0.8125382301534426,1.4630675565496822,-0.8084546771101727,-0.26582554884870346,1.495879315318381,-1.3629075530075747
